index,t,x,y,z,joint1,joint2
0,0.0,0.4,0.0,0.6,0.0,0.0
1,0.1,0.39,0.0,0.585,-0.019445611879744057,0.05671810749127233
2,0.2,0.38,0.0,0.57,-0.03780926020076114,0.1119840801596173
3,0.3,0.37,0.0,0.5549999999999999,-0.05511974505492812,0.16594827391890699
4,0.4,0.36,0.0,0.54,-0.07139167154426128,0.21874032762346696
5,0.5,0.35,0.0,0.525,-0.08662645169437799,0.2704733757545378
6,0.6,0.34,0.0,0.51,-0.10081270774432234,0.3212471248784599
7,0.7,0.33,0.0,0.495,-0.11392617995417335,0.3711502834910453
8,0.8,0.32,0.0,0.48,-0.12592916308352234,0.4202625161759707
9,0.9,0.31,0.0,0.46499999999999997,-0.1367694588059752,0.4686560459001062
10,1.0,0.3,0.0,0.45,-0.14637879585572391,0.5163969968501233
